name,calories,protein,carbs,fat,last_updated,source_url,serving_size
Turkey Sumac with Cheese,405,24.0,35.0,12.0,2024-12-31 21:12:58,https://www.talabat.com/kuwait/restaurant/673492/bartone-surra?aid=42,
Mushroom Sourdough,440,11.0,41.0,12.0,2024-12-31 21:12:58,https://www.talabat.com/kuwait/restaurant/673492/bartone-surra?aid=42,
Chicken Avocado in Beetroot Bun,430,32.0,30.0,13.0,2024-12-31 21:12:58,https://www.talabat.com/kuwait/restaurant/673492/bartone-surra?aid=42,
Roast Beef,440,31.0,47.0,17.0,2024-12-31 21:12:58,https://www.talabat.com/kuwait/restaurant/673492/bartone-surra?aid=42,
Spicy Tuna,420,32.0,55.0,16.0,2024-12-31 21:12:58,https://www.talabat.com/kuwait/restaurant/673492/bartone-surra?aid=42,
Iced White Mocha,177,,,,2024-12-31 21:12:58,https://www.talabat.com/kuwait/restaurant/673492/bartone-surra?aid=42,
Iced Toffee Nut Latte,160,7.0,28.0,5.0,2024-12-31 21:12:58,https://www.talabat.com/kuwait/restaurant/673492/bartone-surra?aid=42,
Ice Shaken Vanilla,100,,,,2024-12-31 21:12:58,https://www.talabat.com/kuwait/restaurant/673492/bartone-surra?aid=42,
Ice Shaken Caramel Macchiato,144,,,,2024-12-31 21:12:58,https://www.talabat.com/kuwait/restaurant/673492/bartone-surra?aid=42,
Iced Matcha Latte,178,,,,2024-12-31 21:12:58,https://www.talabat.com/kuwait/restaurant/673492/bartone-surra?aid=42,
Vanilla Latte,100,,,,2024-12-31 21:12:58,https://www.talabat.com/kuwait/restaurant/673492/bartone-surra?aid=42,
Thai Cucumber Salad,152,3.0,,7.5,2024-12-31 21:12:58,https://www.talabat.com/kuwait/restaurant/673492/bartone-surra?aid=42,
Fattoush Salad,165,2.0,,11.0,2024-12-31 21:12:58,https://www.talabat.com/kuwait/restaurant/673492/bartone-surra?aid=42,
Kale Tabbouleh (Variant 1),215,10.8,,13.0,2024-12-31 21:12:58,https://www.talabat.com/kuwait/restaurant/673492/bartone-surra?aid=42,
Roasted Corn Salad,175,4.8,,11.4,2024-12-31 21:12:58,https://www.talabat.com/kuwait/restaurant/673492/bartone-surra?aid=42,
Chicken Caesar Salad,325,10.8,,29.0,2024-12-31 21:12:58,https://www.talabat.com/kuwait/restaurant/673492/bartone-surra?aid=42,
Spinach Walnut Salad,180,13.0,,17.0,2024-12-31 21:12:58,https://www.talabat.com/kuwait/restaurant/673492/bartone-surra?aid=42,
